,Open,High,Low,Close,Volume
2010-01-01,3.4420621395111084,3.4420621395111084,3.4420621395111084,3.4420621395111084,0
2010-01-04,3.472522282353104,3.5334443810074916,3.3506803758999726,3.502983331680298,11846086
2010-01-05,3.502983331680298,3.5334443810074916,3.472522282353104,3.502983331680298,7929532
2010-01-06,3.502983307878767,3.5334443569989884,3.4116013059459154,3.472522258758545,9721300
2010-01-07,3.4116010665893555,3.4420621135724425,3.3811400196062684,3.4116010665893555,7407485
2010-01-08,3.4116013040358455,3.4420623531390127,3.350680351257324,3.350680351257324,8583119
2010-01-11,3.381140254932678,3.4116013040358455,3.259297203947822,3.350680351257324,10830225
2010-01-12,3.320219013449714,3.350680059904189,3.2288367904284607,3.2897579669952393,10073647
2010-01-13,3.2897580240847413,3.4116010665893555,3.2592969771016542,3.4116010665893555,13076455
2010-01-14,3.472522258758545,3.5334443569989884,3.4116013059459154,3.472522258758545,20038297
2010-01-15,3.4725220151277956,3.4725220151277956,3.3506801180509154,3.4116010665893555,7493160
2010-01-18,3.3811399936676025,3.4116010404170054,3.350680092345925,3.3811399936676025,4407684
2010-01-19,3.4420621135724425,3.4725220151277956,3.3811400196062684,3.4116010665893555,7837862
2010-01-20,3.4420621135724425,3.4420621135724425,3.3811400196062684,3.4116010665893555,12009697
2010-01-21,3.381140254932678,3.4116013040358455,3.3202193021541566,3.350680351257324,9529445
2010-01-22,3.350680059904189,3.38113996093095,3.2897579669952393,3.2897579669952393,6787340
2010-01-25,3.320219013449714,3.350680059904189,3.2897579669952393,3.2897579669952393,4721351
2010-01-26,3.289757998847119,3.3811399936676025,3.259296952097716,3.3811399936676025,4501261
2010-01-27,3.350680351257324,3.4420623531390127,3.350680351257324,3.350680351257324,10505291
2010-01-28,3.381140254932678,3.4116013040358455,3.3202193021541566,3.350680351257324,5924428
2010-01-29,3.3506803272202172,3.3811402306770577,3.2897582294509253,3.3202192783355713,5442121
2010-02-01,3.3506801180509154,3.4116010665893555,3.3202190710678283,3.4116010665893555,5276311
2010-02-02,3.4116013040358455,3.4116013040358455,3.3202193021541566,3.350680351257324,5982432
2010-02-03,3.3811399936676025,3.4420620871664083,3.350680092345925,3.3811399936676025,12328841
2010-02-04,3.3811399936676025,3.4116010404170054,3.350680092345925,3.3811399936676025,3440880
2010-02-05,3.289758178553781,3.289758178553781,3.076533130515758,3.198376178741455,16977716
